tile_id,tissue_fraction
Small_intestine_AGTPBP1_Female_44_1800__r7c6.jpg,0.0001
Small_intestine_AGTPBP1_Female_44_1800__r7c7.jpg,0.0004
Small_intestine_ACAA2_Female_64_2450__r0c0.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r0c1.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r0c2.jpg,0.1085
Small_intestine_ACAA2_Female_64_2450__r0c3.jpg,0.0797
Small_intestine_ACAA2_Female_64_2450__r0c4.jpg,0.0025
Small_intestine_ACAA2_Female_64_2450__r0c5.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r0c6.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r0c7.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r1c0.jpg,0.0001
Small_intestine_ACAA2_Female_64_2450__r1c1.jpg,0.3037
Small_intestine_ACAA2_Female_64_2450__r1c2.jpg,0.7171
Small_intestine_ACAA2_Female_64_2450__r1c3.jpg,0.5086
Small_intestine_ACAA2_Female_64_2450__r1c4.jpg,0.0736
Small_intestine_ACAA2_Female_64_2450__r1c5.jpg,0.0947
Small_intestine_ACAA2_Female_64_2450__r1c6.jpg,0.0042
Small_intestine_ACAA2_Female_64_2450__r1c7.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r2c0.jpg,0.0249
Small_intestine_ACAA2_Female_64_2450__r2c1.jpg,0.5758
Small_intestine_ACAA2_Female_64_2450__r2c2.jpg,0.6779
Small_intestine_ACAA2_Female_64_2450__r2c3.jpg,0.6563
Small_intestine_ACAA2_Female_64_2450__r2c4.jpg,0.1606
Small_intestine_ACAA2_Female_64_2450__r2c5.jpg,0.0880
Small_intestine_ACAA2_Female_64_2450__r2c6.jpg,0.0763
Small_intestine_ACAA2_Female_64_2450__r2c7.jpg,0.0001
Small_intestine_ACAA2_Female_64_2450__r3c0.jpg,0.0379
Small_intestine_ACAA2_Female_64_2450__r3c1.jpg,0.6195
Small_intestine_ACAA2_Female_64_2450__r3c2.jpg,0.5860
Small_intestine_ACAA2_Female_64_2450__r3c3.jpg,0.7128
Small_intestine_ACAA2_Female_64_2450__r3c4.jpg,0.4850
Small_intestine_ACAA2_Female_64_2450__r3c5.jpg,0.1373
Small_intestine_ACAA2_Female_64_2450__r3c6.jpg,0.0908
Small_intestine_ACAA2_Female_64_2450__r3c7.jpg,0.0084
Small_intestine_ACAA2_Female_64_2450__r4c0.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r4c1.jpg,0.3009
Small_intestine_ACAA2_Female_64_2450__r4c2.jpg,0.6574
Small_intestine_ACAA2_Female_64_2450__r4c3.jpg,0.6849
Small_intestine_ACAA2_Female_64_2450__r4c4.jpg,0.7048
Small_intestine_ACAA2_Female_64_2450__r4c5.jpg,0.5983
Small_intestine_ACAA2_Female_64_2450__r4c6.jpg,0.4180
Small_intestine_ACAA2_Female_64_2450__r4c7.jpg,0.1245
Small_intestine_ACAA2_Female_64_2450__r5c0.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r5c1.jpg,0.0032
Small_intestine_ACAA2_Female_64_2450__r5c2.jpg,0.3674
Small_intestine_ACAA2_Female_64_2450__r5c3.jpg,0.6090
Small_intestine_ACAA2_Female_64_2450__r5c4.jpg,0.7752
Small_intestine_ACAA2_Female_64_2450__r5c5.jpg,0.6797
Small_intestine_ACAA2_Female_64_2450__r5c6.jpg,0.6781
Small_intestine_ACAA2_Female_64_2450__r5c7.jpg,0.2216
Small_intestine_ACAA2_Female_64_2450__r6c0.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r6c1.jpg,0.0003
Small_intestine_ACAA2_Female_64_2450__r6c2.jpg,0.0178
Small_intestine_ACAA2_Female_64_2450__r6c3.jpg,0.2983
Small_intestine_ACAA2_Female_64_2450__r6c4.jpg,0.6818
Small_intestine_ACAA2_Female_64_2450__r6c5.jpg,0.5792
Small_intestine_ACAA2_Female_64_2450__r6c6.jpg,0.3737
Small_intestine_ACAA2_Female_64_2450__r6c7.jpg,0.0025
Small_intestine_ACAA2_Female_64_2450__r7c0.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r7c1.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r7c2.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r7c3.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r7c4.jpg,0.1872
Small_intestine_ACAA2_Female_64_2450__r7c5.jpg,0.1452
Small_intestine_ACAA2_Female_64_2450__r7c6.jpg,0.0000
Small_intestine_ACAA2_Female_64_2450__r7c7.jpg,0.0001
Duodenum_ATP2B1_Female_53_3413__r0c0.jpg,0.0000
Duodenum_ATP2B1_Female_53_3413__r0c1.jpg,0.0001
Duodenum_ATP2B1_Female_53_3413__r0c2.jpg,0.0208
Duodenum_ATP2B1_Female_53_3413__r0c3.jpg,0.2528
Duodenum_ATP2B1_Female_53_3413__r0c4.jpg,0.3481
Duodenum_ATP2B1_Female_53_3413__r0c5.jpg,0.1022
Duodenum_ATP2B1_Female_53_3413__r0c6.jpg,0.0000
Duodenum_ATP2B1_Female_53_3413__r0c7.jpg,0.0000
Duodenum_ATP2B1_Female_53_3413__r1c0.jpg,0.0001
Duodenum_ATP2B1_Female_53_3413__r1c1.jpg,0.3215
Duodenum_ATP2B1_Female_53_3413__r1c2.jpg,0.7079
Duodenum_ATP2B1_Female_53_3413__r1c3.jpg,0.8329
Duodenum_ATP2B1_Female_53_3413__r1c4.jpg,0.9664
Duodenum_ATP2B1_Female_53_3413__r1c5.jpg,0.9300
Duodenum_ATP2B1_Female_53_3413__r1c6.jpg,0.2758
Duodenum_ATP2B1_Female_53_3413__r1c7.jpg,0.0000
Duodenum_ATP2B1_Female_53_3413__r2c0.jpg,0.0957
Duodenum_ATP2B1_Female_53_3413__r2c1.jpg,0.9309
Duodenum_ATP2B1_Female_53_3413__r2c2.jpg,0.7234
Duodenum_ATP2B1_Female_53_3413__r2c3.jpg,0.7828
Duodenum_ATP2B1_Female_53_3413__r2c4.jpg,0.9667
Duodenum_ATP2B1_Female_53_3413__r2c5.jpg,0.9667
Duodenum_ATP2B1_Female_53_3413__r2c6.jpg,0.8470
Duodenum_ATP2B1_Female_53_3413__r2c7.jpg,0.0601
Duodenum_ATP2B1_Female_53_3413__r3c0.jpg,0.3348
Duodenum_ATP2B1_Female_53_3413__r3c1.jpg,0.9688
Duodenum_ATP2B1_Female_53_3413__r3c2.jpg,0.7458
Duodenum_ATP2B1_Female_53_3413__r3c3.jpg,0.7215
Duodenum_ATP2B1_Female_53_3413__r3c4.jpg,0.9756
Duodenum_ATP2B1_Female_53_3413__r3c5.jpg,0.9754
Duodenum_ATP2B1_Female_53_3413__r3c6.jpg,0.9652
Duodenum_ATP2B1_Female_53_3413__r3c7.jpg,0.3194
Duodenum_ATP2B1_Female_53_3413__r4c0.jpg,0.3356
Duodenum_ATP2B1_Female_53_3413__r4c1.jpg,0.9597
Duodenum_ATP2B1_Female_53_3413__r4c2.jpg,0.8848
Duodenum_ATP2B1_Female_53_3413__r4c3.jpg,0.8035
Duodenum_ATP2B1_Female_53_3413__r4c4.jpg,0.9641
Duodenum_ATP2B1_Female_53_3413__r4c5.jpg,0.9730
Duodenum_ATP2B1_Female_53_3413__r4c6.jpg,0.9609
Duodenum_ATP2B1_Female_53_3413__r4c7.jpg,0.3099
Duodenum_ATP2B1_Female_53_3413__r5c0.jpg,0.0730
Duodenum_ATP2B1_Female_53_3413__r5c1.jpg,0.8770
Duodenum_ATP2B1_Female_53_3413__r5c2.jpg,0.8966
Duodenum_ATP2B1_Female_53_3413__r5c3.jpg,0.8934
Duodenum_ATP2B1_Female_53_3413__r5c4.jpg,0.9752
Duodenum_ATP2B1_Female_53_3413__r5c5.jpg,0.9773
Duodenum_ATP2B1_Female_53_3413__r5c6.jpg,0.9230
Duodenum_ATP2B1_Female_53_3413__r5c7.jpg,0.0692
Duodenum_ATP2B1_Female_53_3413__r6c0.jpg,0.0006
Duodenum_ATP2B1_Female_53_3413__r6c1.jpg,0.2593
Duodenum_ATP2B1_Female_53_3413__r6c2.jpg,0.8236
Duodenum_ATP2B1_Female_53_3413__r6c3.jpg,0.8752
Duodenum_ATP2B1_Female_53_3413__r6c4.jpg,0.9837
Duodenum_ATP2B1_Female_53_3413__r6c5.jpg,0.9611
Duodenum_ATP2B1_Female_53_3413__r6c6.jpg,0.3648
Duodenum_ATP2B1_Female_53_3413__r6c7.jpg,0.0000
Duodenum_ATP2B1_Female_53_3413__r7c0.jpg,0.0001
Duodenum_ATP2B1_Female_53_3413__r7c1.jpg,0.0000
Duodenum_ATP2B1_Female_53_3413__r7c2.jpg,0.0682
Duodenum_ATP2B1_Female_53_3413__r7c3.jpg,0.3322
Duodenum_ATP2B1_Female_53_3413__r7c4.jpg,0.3614
Duodenum_ATP2B1_Female_53_3413__r7c5.jpg,0.1091
Duodenum_ATP2B1_Female_53_3413__r7c6.jpg,0.0001
Duodenum_ATP2B1_Female_53_3413__r7c7.jpg,0.0001
Duodenum_ACVR2A_Male_55_1920__r0c0.jpg,0.0000
Duodenum_ACVR2A_Male_55_1920__r0c1.jpg,0.0003
Duodenum_ACVR2A_Male_55_1920__r0c2.jpg,0.0354
Duodenum_ACVR2A_Male_55_1920__r0c3.jpg,0.2238
Duodenum_ACVR2A_Male_55_1920__r0c4.jpg,0.2179
Duodenum_ACVR2A_Male_55_1920__r0c5.jpg,0.0018
Duodenum_ACVR2A_Male_55_1920__r0c6.jpg,0.0000
Duodenum_ACVR2A_Male_55_1920__r0c7.jpg,0.0000
Duodenum_ACVR2A_Male_55_1920__r1c0.jpg,0.0003
Duodenum_ACVR2A_Male_55_1920__r1c1.jpg,0.1646
Duodenum_ACVR2A_Male_55_1920__r1c2.jpg,0.8755
Duodenum_ACVR2A_Male_55_1920__r1c3.jpg,0.9549
Duodenum_ACVR2A_Male_55_1920__r1c4.jpg,0.7116
Duodenum_ACVR2A_Male_55_1920__r1c5.jpg,0.0416
Duodenum_ACVR2A_Male_55_1920__r1c6.jpg,0.0151
Duodenum_ACVR2A_Male_55_1920__r1c7.jpg,0.0000
Duodenum_ACVR2A_Male_55_1920__r2c0.jpg,0.0002
Duodenum_ACVR2A_Male_55_1920__r2c1.jpg,0.6616
Duodenum_ACVR2A_Male_55_1920__r2c2.jpg,0.8912
Duodenum_ACVR2A_Male_55_1920__r2c3.jpg,0.6052
Duodenum_ACVR2A_Male_55_1920__r2c4.jpg,0.3355
Duodenum_ACVR2A_Male_55_1920__r2c5.jpg,0.1782
Duodenum_ACVR2A_Male_55_1920__r2c6.jpg,0.1837
Duodenum_ACVR2A_Male_55_1920__r2c7.jpg,0.0001
Duodenum_ACVR2A_Male_55_1920__r3c0.jpg,0.0702
Duodenum_ACVR2A_Male_55_1920__r3c1.jpg,0.8906
Duodenum_ACVR2A_Male_55_1920__r3c2.jpg,0.8729
Duodenum_ACVR2A_Male_55_1920__r3c3.jpg,0.7333
Duodenum_ACVR2A_Male_55_1920__r3c4.jpg,0.5005
Duodenum_ACVR2A_Male_55_1920__r3c5.jpg,0.1369
Duodenum_ACVR2A_Male_55_1920__r3c6.jpg,0.4516
Duodenum_ACVR2A_Male_55_1920__r3c7.jpg,0.0153
Duodenum_ACVR2A_Male_55_1920__r4c0.jpg,0.0553
Duodenum_ACVR2A_Male_55_1920__r4c1.jpg,0.8948
Duodenum_ACVR2A_Male_55_1920__r4c2.jpg,0.6666
Duodenum_ACVR2A_Male_55_1920__r4c3.jpg,0.9327
Duodenum_ACVR2A_Male_55_1920__r4c4.jpg,0.6954
Duodenum_ACVR2A_Male_55_1920__r4c5.jpg,0.0396
Duodenum_ACVR2A_Male_55_1920__r4c6.jpg,0.5983
Duodenum_ACVR2A_Male_55_1920__r4c7.jpg,0.1361
Duodenum_ACVR2A_Male_55_1920__r5c0.jpg,0.0002
Duodenum_ACVR2A_Male_55_1920__r5c1.jpg,0.6674
Duodenum_ACVR2A_Male_55_1920__r5c2.jpg,0.8581
Duodenum_ACVR2A_Male_55_1920__r5c3.jpg,0.8472
Duodenum_ACVR2A_Male_55_1920__r5c4.jpg,0.7800
Duodenum_ACVR2A_Male_55_1920__r5c5.jpg,0.0049
Duodenum_ACVR2A_Male_55_1920__r5c6.jpg,0.2185
Duodenum_ACVR2A_Male_55_1920__r5c7.jpg,0.0067
Duodenum_ACVR2A_Male_55_1920__r6c0.jpg,0.0004
Duodenum_ACVR2A_Male_55_1920__r6c1.jpg,0.1260
Duodenum_ACVR2A_Male_55_1920__r6c2.jpg,0.7296
Duodenum_ACVR2A_Male_55_1920__r6c3.jpg,0.3865
Duodenum_ACVR2A_Male_55_1920__r6c4.jpg,0.7474
Duodenum_ACVR2A_Male_55_1920__r6c5.jpg,0.0553
Duodenum_ACVR2A_Male_55_1920__r6c6.jpg,0.1073
Duodenum_ACVR2A_Male_55_1920__r6c7.jpg,0.0000
Duodenum_ACVR2A_Male_55_1920__r7c0.jpg,0.0002
Duodenum_ACVR2A_Male_55_1920__r7c1.jpg,0.0001
Duodenum_ACVR2A_Male_55_1920__r7c2.jpg,0.0193
Duodenum_ACVR2A_Male_55_1920__r7c3.jpg,0.1388
Duodenum_ACVR2A_Male_55_1920__r7c4.jpg,0.1439
Duodenum_ACVR2A_Male_55_1920__r7c5.jpg,0.0076
Duodenum_ACVR2A_Male_55_1920__r7c6.jpg,0.0000
Duodenum_ACVR2A_Male_55_1920__r7c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r0c0.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r0c1.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r0c2.jpg,0.0035
Small_intestine_ABCD3_Female_56_1499__r0c3.jpg,0.0334
Small_intestine_ABCD3_Female_56_1499__r0c4.jpg,0.0350
Small_intestine_ABCD3_Female_56_1499__r0c5.jpg,0.0007
Small_intestine_ABCD3_Female_56_1499__r0c6.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r0c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r1c0.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r1c1.jpg,0.0753
Small_intestine_ABCD3_Female_56_1499__r1c2.jpg,0.3064
Small_intestine_ABCD3_Female_56_1499__r1c3.jpg,0.4828
Small_intestine_ABCD3_Female_56_1499__r1c4.jpg,0.5045
Small_intestine_ABCD3_Female_56_1499__r1c5.jpg,0.5037
Small_intestine_ABCD3_Female_56_1499__r1c6.jpg,0.0900
Small_intestine_ABCD3_Female_56_1499__r1c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r2c0.jpg,0.0001
Small_intestine_ABCD3_Female_56_1499__r2c1.jpg,0.2377
Small_intestine_ABCD3_Female_56_1499__r2c2.jpg,0.3995
Small_intestine_ABCD3_Female_56_1499__r2c3.jpg,0.3468
Small_intestine_ABCD3_Female_56_1499__r2c4.jpg,0.4109
Small_intestine_ABCD3_Female_56_1499__r2c5.jpg,0.5069
Small_intestine_ABCD3_Female_56_1499__r2c6.jpg,0.4043
Small_intestine_ABCD3_Female_56_1499__r2c7.jpg,0.0001
Small_intestine_ABCD3_Female_56_1499__r3c0.jpg,0.0005
Small_intestine_ABCD3_Female_56_1499__r3c1.jpg,0.2657
Small_intestine_ABCD3_Female_56_1499__r3c2.jpg,0.4954
Small_intestine_ABCD3_Female_56_1499__r3c3.jpg,0.3252
Small_intestine_ABCD3_Female_56_1499__r3c4.jpg,0.4395
Small_intestine_ABCD3_Female_56_1499__r3c5.jpg,0.4059
Small_intestine_ABCD3_Female_56_1499__r3c6.jpg,0.3951
Small_intestine_ABCD3_Female_56_1499__r3c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r4c0.jpg,0.0423
Small_intestine_ABCD3_Female_56_1499__r4c1.jpg,0.5757
Small_intestine_ABCD3_Female_56_1499__r4c2.jpg,0.4326
Small_intestine_ABCD3_Female_56_1499__r4c3.jpg,0.3901
Small_intestine_ABCD3_Female_56_1499__r4c4.jpg,0.2986
Small_intestine_ABCD3_Female_56_1499__r4c5.jpg,0.4597
Small_intestine_ABCD3_Female_56_1499__r4c6.jpg,0.3515
Small_intestine_ABCD3_Female_56_1499__r4c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r5c0.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r5c1.jpg,0.4485
Small_intestine_ABCD3_Female_56_1499__r5c2.jpg,0.5493
Small_intestine_ABCD3_Female_56_1499__r5c3.jpg,0.3637
Small_intestine_ABCD3_Female_56_1499__r5c4.jpg,0.4746
Small_intestine_ABCD3_Female_56_1499__r5c5.jpg,0.2497
Small_intestine_ABCD3_Female_56_1499__r5c6.jpg,0.2382
Small_intestine_ABCD3_Female_56_1499__r5c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r6c0.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r6c1.jpg,0.1184
Small_intestine_ABCD3_Female_56_1499__r6c2.jpg,0.5151
Small_intestine_ABCD3_Female_56_1499__r6c3.jpg,0.3622
Small_intestine_ABCD3_Female_56_1499__r6c4.jpg,0.3763
Small_intestine_ABCD3_Female_56_1499__r6c5.jpg,0.4308
Small_intestine_ABCD3_Female_56_1499__r6c6.jpg,0.0199
Small_intestine_ABCD3_Female_56_1499__r6c7.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r7c0.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r7c1.jpg,0.0000
Small_intestine_ABCD3_Female_56_1499__r7c2.jpg,0.0085
Small_intestine_ABCD3_Female_56_1499__r7c3.jpg,0.0466
Small_intestine_ABCD3_Female_56_1499__r7c4.jpg,0.0835
Small_intestine_ABCD3_Female_56_1499__r7c5.jpg,0.0042
Small_intestine_ABCD3_Female_56_1499__r7c6.jpg,0.0003
Small_intestine_ABCD3_Female_56_1499__r7c7.jpg,0.0000
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c0.jpg",0.0001
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c1.jpg",0.0000
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c2.jpg",0.1411
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c3.jpg",0.3386
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c4.jpg",0.3065
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c5.jpg",0.0549
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c6.jpg",0.0000
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r0c7.jpg",0.0000
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c0.jpg",0.0000
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c1.jpg",0.3612
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c2.jpg",0.7564
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c3.jpg",0.7260
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c4.jpg",0.6600
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c5.jpg",0.5565
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c6.jpg",0.1174
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r1c7.jpg",0.0001
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c0.jpg",0.1135
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c1.jpg",0.7424
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c2.jpg",0.7376
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c3.jpg",0.7001
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c4.jpg",0.5979
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c5.jpg",0.5836
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c6.jpg",0.5537
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r2c7.jpg",0.0126
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c0.jpg",0.3163
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c1.jpg",0.7609
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c2.jpg",0.7531
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c3.jpg",0.6051
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c4.jpg",0.6775
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c5.jpg",0.6901
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c6.jpg",0.5373
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r3c7.jpg",0.2815
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c0.jpg",0.2906
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c1.jpg",0.8202
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c2.jpg",0.7632
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c3.jpg",0.6424
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c4.jpg",0.6773
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c5.jpg",0.5960
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c6.jpg",0.6162
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r4c7.jpg",0.3629
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c0.jpg",0.0992
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c1.jpg",0.6446
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c2.jpg",0.7793
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c3.jpg",0.6734
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c4.jpg",0.7177
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c5.jpg",0.6610
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c6.jpg",0.6418
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r5c7.jpg",0.1941
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c0.jpg",0.0013
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c1.jpg",0.1997
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c2.jpg",0.7552
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c3.jpg",0.7267
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c4.jpg",0.6525
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c5.jpg",0.7022
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c6.jpg",0.5779
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r6c7.jpg",0.0335
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c0.jpg",0.0000
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c1.jpg",0.0003
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c2.jpg",0.2329
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c3.jpg",0.5226
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c4.jpg",0.5366
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c5.jpg",0.4077
"Small_intestine,_NOS_ANKRD37_Female_71_3004__r7c6.jpg",0.0879
